business_name,postal_code,city,province,match_status
Hernandez Inc,K9H 5K2,New James,PE,true_match
Bradley Inc,E1K4M2,Jenniferfort,BC,true_match
"Boyer, Wallacj and boudg",H7C 9i8,New Acgelaport,ON,true_match
"Wagner, Velazquez and Walton",H6J6N4,North Davidmouth,PE,true_match
Clark Inc,K2V1M7,New Anthonyfort,AB,true_match
Beltran PLC,J6T 6M1,Evansfurt,NU,true_match
"Graham, Rogers and Wilson",P7G5B8,South Todd,ON,true_match
Ramirez-Reyes,V5K5C7,Port Jasonton,ON,false_match
Travis-Camacho,J3R7G5,Woodstad,NS,true_match
Callahan Ltd,E8S3H1,North Jennifer,QC,true_match
"Taylor, Sanchez and Andrews",V9J4L1,South Brianport,NU,true_match
"Rodriguez, Robbins and Bass",Y1T 5V4,Fischerchester,NU,false_match
Miller-Jones,X5T 4V4,New Sarah,NL,true_match
"Rivera, Williams and Young",C3A 8Y6,East Bruceburgh,PE,true_match
Reynolds LLC,P9Y 6G9,East Leeborough,NB,false_match
Gutierrez-Martin,P7R 4C6,North Karenbury,NL,true_match
Brown-Thomas,N7Y 2S9,West David,BC,true_match
Burton-Hympton,G3Mb7N6,Johnsontown,PE,true_match
Sharp PLC,B9A6Y6,Robertfurt,PE,false_match
Terrell-Patterson,S7N2X9,Phamfurt,QC,true_match
Carlson Inc,P9R 9X7,Cookfort,ON,true_match
Morales-Savage,R7X9M9,North Joanneland,NL,false_match
"Hall, Thomas and Lewis",G2V6E1,North Williamfurt,YT,true_match
"Patterson, Barnett and Patterson",N5C9S1,Cardenasbury,NL,true_match
Alvarez-Davidson,S7R1P4,Port Paulaside,NL,true_match
Osborn LLC,J2B 8E3,Lake Dwayneshire,YT,true_match
"Schneider, Tran and Reyes",X7J8P5,Mosschester,AB,false_match
FeynnfPoC,A6J 6R8,Jusselajd,ON,true_match
"Harris, Mckee and Medina",N5A1E5,Ramseymouth,YT,true_match
"Guerra, Burgess and Jones",S8P7X1,Victorton,NT,false_match
Mcdonald-Wilson,X4H2R7,West Stevenberg,ON,true_match
Blair-Lawson,M3B 3X5,Vaughanbury,NB,false_match
Sanders LLC,L3P 8P6,Davidtown,AB,true_match
"Hernandez, Hunter and Lewis",L1X 9A2,Lake Tarachester,YT,true_match
Turner Group,L2H 7A4,Port Vincent,ON,true_match
